colors
"[""instant classic"", ""toasted chestnut"", ""ice floe"", ""blue dianne"", ""tawny"", ""ballerina gown"", ""tangerine yellow"", ""dark purple"", ""copley gray"", ""equator"", ""fresh popcorn"", ""mountain lane"", ""bungalow beige"", ""tear drop"", ""blue slushie"", ""caramel swirl"", ""dark peach"", ""basswood"", ""foggy grey"", ""lingonberry punch""]"
"[""honey harbor"", ""shades on"", ""maxi teal"", ""mudslide"", ""tacao"", ""wisp of mauve"", ""space cadet"", ""malachy green"", ""rose parade"", ""poetic princess"", ""palm coast pale"", ""instant delight"", ""brazil nut"", ""swiss coffee"", ""scarecrow"", ""deep sea green"", ""crashing waves"", ""snugglepuss"", ""fuchsia kiss"", ""soft green""]"
"[""purple bloom"", ""buoyant blue"", ""romanesque gold"", ""light slate gray"", ""jade mountain"", ""earth yellow"", ""congo brown"", ""citrine"", ""lilac champagne"", ""river silt"", ""wizard"", ""powell smokehouse"", ""ardent coral"", ""claret"", ""soothing green"", ""cumulus cotton"", ""moir gold"", ""castle ridge"", ""wisteria"", ""blue echo""]"
"[""raspberry pink"", ""just right"", ""whiskey"", ""exotic orchid"", ""austere gray"", ""hacienda tile"", ""echo mist"", ""medium candy apple red"", ""pistachio ice cream"", ""mission white"", ""sunning deck"", ""deep puce"", ""meadow light"", ""brown yellow"", ""blue haze"", ""new forest"", ""blushing red"", ""dirty purple"", ""sandy tan"", ""soft jazz""]"
"[""pebble rock"", ""ski slope"", ""festival"", ""pumpkin bread"", ""august moon"", ""bali"", ""oxford blue"", ""southwest pottery"", ""bradford brown"", ""warm brownie"", ""desert lights"", ""fresh salmon"", ""indigo blue"", ""violet fields"", ""japanese rose garden"", ""tahitian breeze"", ""clematis"", ""extreme yellow"", ""poison green"", ""subtle touch""]"
"[""coronado cream"", ""galliano"", ""yellow rain coat"", ""socialite"", ""chadwick brown"", ""little falls"", ""elegant navy"", ""vale mist"", ""rocket metallic"", ""sycamore grove"", ""road runner"", ""san jose blue"", ""silent ripple"", ""lovely blue sky"", ""rosebud"", ""berry bush"", ""antique penny"", ""wickham gray"", ""russett"", ""crown of thorns""]"
"[""red jalapeno"", ""turtle dove"", ""deep green"", ""resolute blue"", ""november"", ""polished marble"", ""stepping stones"", ""casco bay"", ""sundown"", ""english custard"", ""only natural"", ""espresso"", ""fresh grass"", ""golden fizz"", ""purplish red"", ""saratoga springs"", ""flame red"", ""rush hour"", ""balmy seas"", ""private jet""]"
"[""muted blue"", ""permanent geranium lake"", ""wilmington tan"", ""fresh lime"", ""dockside blue"", ""provence creme"", ""lizard green"", ""black space"", ""dandelion wish"", ""bluish"", ""eternal elegance"", ""tree green"", ""rose vale"", ""tree fern"", ""dark cyan"", ""mineral"", ""cool december"", ""skydive"", ""lavish gold"", ""windmill wings""]"
"[""elephant"", ""ten gallon hat"", ""sandalwood"", ""peachland"", ""fresh willow"", ""white mocha"", ""arrowhead lake"", ""tundra"", ""barley corn"", ""midnight purple"", ""inner child"", ""royal brown"", ""gray sky"", ""golden glow"", ""cool ashes"", ""ancient oak"", ""butternut squash"", ""azure water"", ""tropical waterfall"", ""yellow squash""]"
"[""travertine"", ""molasses"", ""belgian sweet"", ""thyme"", ""light fuchsia pink"", ""novel lilac"", ""ocean air"", ""cobblestone"", ""granola"", ""indochine"", ""robust orange"", ""sienna clay"", ""cotton sheets"", ""granny smith"", ""race track"", ""elephant tusk"", ""early sunrise"", ""usc gold"", ""pumpkin essence"", ""havana coffee""]"
