colors
"[""dakota woods green"", ""bright yellow"", ""blue opal"", ""bluffs"", ""appalachian green"", ""halo"", ""sea salt"", ""candlelight ivory"", ""hills of ireland"", ""apricot freeze"", ""basil chiffonade"", ""wispy pink"", ""fossil"", ""fresh nectar"", ""intense peach"", ""vivacious pink"", ""torrey pine"", ""xanadu"", ""pink taffy"", ""penthouse view""]"
"[""good morning sunshine"", ""green blue"", ""prune"", ""pale salmon"", ""kelp"", ""madras"", ""sandwisp"", ""rain"", ""stolen moments"", ""olivine"", ""mustard seed"", ""honey infusion"", ""painted skies"", ""blue bark"", ""soft sand"", ""superwhite"", ""vivid red"", ""blue smoke"", ""chateau rose"", ""carnation""]"
"[""bridgewood"", ""fox hollow brown"", ""outer sphere"", ""norwester tan"", ""kelley green"", ""jean jacket blue"", ""country beige"", ""fuchsine"", ""powdered petals"", ""malibu peach"", ""tranquil aqua"", ""ice rink"", ""aged beige"", ""daffodil"", ""spiced berry"", ""french blue"", ""nutmeg frost"", ""root beer"", ""lucky shamrock"", ""mirror ball""]"
"[""wild orchid"", ""black pearl"", ""mythical"", ""abstract"", ""blue green gem"", ""purplish pink"", ""dash of pepper"", ""revolutionary storm"", ""mallard"", ""sussex green"", ""greenish blue"", ""swans mill cream"", ""segovia red"", ""green sponge"", ""pumpkin picking"", ""spanish lace"", ""blush"", ""enduring bronze"", ""puce red"", ""stonewashed""]"
"[""powdered snow"", ""kokoda"", ""magic spell"", ""mulled wine"", ""delta"", ""southern charm"", ""opulent opal"", ""plum shadow"", ""saratoga"", ""colonial blue"", ""irish moss"", ""pale chestnut"", ""quail ridge"", ""clydesdale brown"", ""perennial blue"", ""juniper ash"", ""big stone"", ""antique tin"", ""venus pink"", ""fast as the wind""]"
"[""mint hint"", ""woodland"", ""everlasting"", ""portafino"", ""soft muslin"", ""tranquil pond"", ""rajah"", ""patriotic white"", ""dried coconut"", ""tender twilight"", ""taiga"", ""blue macaw"", ""marooned"", ""winter sage"", ""fan coral"", ""dynamic magenta"", ""light deep pink"", ""individual white"", ""green dynasty"", ""brassy""]"
"[""sunstone"", ""venetian lace"", ""lochinvar"", ""chalet green"", ""black white"", ""october sky"", ""cabbage leaf"", ""mayflower red"", ""duxbury gray"", ""deep saffron"", ""pewter ring"", ""scout green"", ""danse du soleil"", ""pixie powder"", ""black panther"", ""yam"", ""applause please"", ""black shadows"", ""oiled cedar"", ""vintage velvet""]"
"[""laurel green"", ""rocky road"", ""hushed white"", ""heavy cream"", ""rock crystal"", ""bianca"", ""ruddy pink"", ""lagoon"", ""mossy cavern"", ""point pleasant"", ""teal tone"", ""mulberry stain"", ""haute pink"", ""oxford street"", ""medium aquamarine"", ""chimichurri"", ""crater brown"", ""vanilla custard"", ""carnation bouquet"", ""minted ice""]"
"[""antique copper"", ""forsythia"", ""smell the roses"", ""moss stone"", ""orchid haze"", ""stormy sky"", ""sandy brown"", ""chambourd"", ""dry dock"", ""featherbed"", ""muddy yellow"", ""saltwater"", ""georgia pink"", ""silver mink"", ""fresh apple"", ""red brick"", ""thayer green"", ""birthday candle"", ""buxton blue"", ""dune grass""]"
"[""windsurf blue"", ""cornsilk"", ""squash bisque"", ""golden straw"", ""bourbon"", ""roycroft suede"", ""rocking chair"", ""brick paver"", ""bijou red"", ""wine country"", ""purple poppy"", ""cream soda"", ""eraser pink"", ""illusion"", ""goldfield"", ""gossamer blue"", ""hampshire rocks"", ""artful aqua"", ""natchez moss"", ""veronese peach""]"
"[""gray horse"", ""cavalry brown"", ""philippine green"", ""taffeta green"", ""pesto paste"", ""citrus green"", ""pale blue"", ""metro gray"", ""hot dog relish"", ""brick path"", ""mountain moss"", ""sentimental beige"", ""ocean ridge"", ""fire engine"", ""granite gray"", ""costa del sol"", ""fragrant cherry"", ""lotus leaf"", ""crushed velvet"", ""yukon green""]"
"[""mars red"", ""metallic silver"", ""de york"", ""van buren brown"", ""back to school"", ""temple tile"", ""cotton tail"", ""rose petal"", ""blagdon yellow"", ""cozy cottage"", ""blackout"", ""old salem gray"", ""luxor gold"", ""sun valley"", ""blue chill"", ""gallant gold"", ""water sprout"", ""big country blue"", ""floradale isle"", ""sweet melon""]"
"[""violet pink"", ""grandfather clock brown"", ""starboard"", ""fiddle leaf"", ""coronado dunes"", ""suntan bronze"", ""foggy morning"", ""grey purple"", ""antique rose"", ""formal affair"", ""french toile"", ""mayan ruins"", ""paolo veronese green"", ""timson green"", ""hearts of palm"", ""looking glass"", ""cobalt"", ""greyish brown"", ""sundress"", ""historical ruins""]"
"[""rainmaster"", ""grasslands"", ""yellowgreen"", ""dancing jewel"", ""foam"", ""spruce"", ""malt"", ""wine berry"", ""waller green"", ""louisburg green"", ""corkboard"", ""cerulean blue"", ""lehigh green"", ""di serria"", ""daybreak"", ""brown sugar"", ""pale cyan"", ""irish spring"", ""whole wheat"", ""deep garnet""]"
"[""prairie lily"", ""royal silk"", ""silent sands"", ""burlap"", ""brown chocolate"", ""cabin in the woods"", ""sun washed"", ""cherry bark"", ""briar wood"", ""logan"", ""dark salmon"", ""green umber"", ""december dawn"", ""heirloom silver"", ""juneau spring"", ""concept beige"", ""orange nectar"", ""hubbard squash"", ""cloud pink"", ""dark blue""]"
"[""fine wine"", ""west side"", ""havasu"", ""little piggy"", ""saga blue"", ""electrify"", ""japanese fern"", ""carnelian"", ""fresh sprout"", ""urban raincoat"", ""jelly bean"", ""reserve"", ""drama violet"", ""best in show"", ""moss mist"", ""sled"", ""elemental"", ""bracken slate"", ""mulling spice"", ""cathedral""]"
"[""mauve hint"", ""rain forest"", ""espresso bark"", ""jamestown blue"", ""summer bliss"", ""spring mint"", ""eerie black"", ""luster white"", ""athena"", ""westwood tan"", ""macchiato"", ""placid sea"", ""tuscan red"", ""cutty sark"", ""scandinavian blue"", ""stone brown"", ""rice grain"", ""white flour"", ""icing on the cake"", ""blue pearl""]"
"[""gray heather"", ""royal azure"", ""sea froth"", ""island paradise"", ""cheerful wine"", ""jacksons purple"", ""autumn mist"", ""beaver"", ""hint of grey"", ""white satin"", ""balsam fir"", ""powder lilac"", ""old canal"", ""victorian mauve"", ""well bred brown"", ""water mark"", ""fun blue"", ""eco green"", ""brandy butter"", ""pink buff""]"
"[""sands of time"", ""dark gold"", ""link gray"", ""earthly white"", ""tandoori"", ""silver song"", ""airbrushed copper"", ""feathered violet"", ""sea buckthorn"", ""cloud cover"", ""mountain falls"", ""field khaki"", ""palace purple"", ""teal bayou"", ""cherry blossom pink"", ""iris"", ""salmon peach"", ""softer tan"", ""winter evening"", ""old rose""]"
"[""hawkes blue"", ""galt peach"", ""yellow tan"", ""torch red"", ""scented clove"", ""game over"", ""pale prim"", ""tree moss"", ""autumn hills"", ""strong pink"", ""deep peach"", ""ripe wheat"", ""bright light green"", ""terra cotta tile"", ""blue lace"", ""pink ginger"", ""english daisy"", ""artisan crafts"", ""vintage taupe"", ""del ray peach""]"
"[""algae green"", ""tropical turquoise"", ""flaming torch"", ""westar"", ""citrus zest"", ""ash blue"", ""fiery orange"", ""veranda charm"", ""candle glow"", ""summer shower"", ""sand trap"", ""clear pond"", ""olde world gold"", ""you are my sunshine"", ""blue vortex"", ""requisite gray"", ""light forest green"", ""scotch mist"", ""tibetan turquoise"", ""provincial pink""]"
"[""fretwire"", ""organic green"", ""sweet spring"", ""moroccan brown"", ""fire"", ""pale olive"", ""bright magenta"", ""citron"", ""candlewick"", ""straw harvest"", ""sabal palm"", ""sonoran sands"", ""april pink"", ""dark mint green"", ""shiny luster"", ""expressionism"", ""dirt"", ""olympic mountains"", ""vivid cerise"", ""grass hopper""]"
"[""lovely lavender"", ""desert lily"", ""radiant sun"", ""composed"", ""teal zeal"", ""fine linen"", ""iris bliss"", ""coastal beige"", ""dark navy blue"", ""smiley face"", ""salamander"", ""teacup rose"", ""powder sand"", ""buckland blue"", ""blue nose"", ""trout"", ""glow pink"", ""dormer brown"", ""tucson red"", ""cloudy""]"
"[""deep aquamarine"", ""mixed fruit"", ""lakeshore"", ""edward"", ""rice cake"", ""peppergrass"", ""rio rancho clay"", ""kestrel white"", ""spring wheat"", ""pastel pink"", ""blue whale"", ""bayville blue"", ""neon purple"", ""bold avocado"", ""lemon green"", ""fondant"", ""pumpkin orange"", ""noble purple"", ""lavender gray"", ""air castle""]"
"[""early harvest"", ""shady oak"", ""avocado"", ""karaka"", ""sambuca"", ""rookwood amber"", ""breaktime"", ""street chic"", ""montpelier"", ""yosemite sand"", ""peach schnapps"", ""flowing river"", ""palace tan"", ""chilean fire"", ""henderson buff"", ""outrageous orange"", ""green gables"", ""hibiscus flower"", ""riviera sand"", ""medium orchid""]"
"[""antique glass"", ""hawaiian pineapple"", ""atlantis"", ""grenadier pond"", ""mango green"", ""normandy"", ""sun blossom"", ""candy apple red"", ""harvest home"", ""cool cream"", ""light navy blue"", ""lush"", ""magic moment"", ""ivy topiary"", ""light french beige"", ""sunshine yellow"", ""antoinette"", ""calla lily"", ""lightblue"", ""irish clover""]"
"[""gray screen"", ""rookwood shutter green"", ""negro humo"", ""dragon fire"", ""light sky blue"", ""porch swing beige"", ""unfussy beige"", ""artistic taupe"", ""soft secret"", ""i pink i can"", ""martini olive"", ""gumbo"", ""high maintenance"", ""garden glow"", ""coconut shell"", ""chopped chive"", ""soothing white"", ""infra red"", ""yellow bisque"", ""nile green""]"
"[""blue cruise"", ""bizarre"", ""tomato cream sauce"", ""abyss"", ""mexican pink"", ""calming space"", ""muddled basil"", ""fairy tale blue"", ""pleasant grove"", ""skysail blue"", ""lol yellow"", ""pale starlet"", ""frozen pond"", ""little pond"", ""herbes de provence"", ""establish mint"", ""open seas"", ""sweet blue"", ""lucent yellow"", ""silver sands""]"
"[""cellini gold"", ""banana cream"", ""medium champagne"", ""faint coral"", ""carmine pink"", ""blue spruce"", ""jersey cream"", ""malta"", ""sweet naivete"", ""dragonwell"", ""coat of arms"", ""sweet caroline"", ""animated coral"", ""faded blue"", ""cafe ole"", ""rainwashed"", ""bisque"", ""compatible cream"", ""tuscany hillside"", ""pumpkin pie""]"
"[""deep moss green"", ""mai tai"", ""light lime green"", ""patriot blue"", ""bumble bee yellow"", ""diesel"", ""lime accent"", ""grape"", ""sweet marzipan"", ""tony taupe"", ""spade black"", ""solaria"", ""sonic blue"", ""chakra"", ""cornice tan"", ""sedona clay"", ""peppermint stick"", ""porcelain glaze"", ""sandy valley"", ""venus""]"
"[""middle grey"", ""crystal blue"", ""sunglo"", ""desert twilight"", ""amalfi"", ""toasted pine nut"", ""turtle creek"", ""gull wing gray"", ""windsor green"", ""powder blue"", ""tart gelato"", ""lime sherbet"", ""shipyard"", ""mango yellow"", ""dishy coral"", ""phoenix villa"", ""cabin fever"", ""chlorophyll"", ""sandstorm"", ""stone castle""]"
"[""tiger stripe"", ""high tea"", ""chateau"", ""carriage door"", ""evening slipper"", ""egyptian sand"", ""hot"", ""byzantium"", ""terrain"", ""shiny shamrock"", ""english violet"", ""catskill brown"", ""essex yellow"", ""spring sky"", ""apple wine"", ""lion heart"", ""nadeshiko pink"", ""desert green"", ""chick flick"", ""ocean liner""]"
"[""periwinkle"", ""crystalline"", ""cinnamon crumble"", ""lake victoria"", ""mulberry silk"", ""sustainable"", ""flax"", ""san antonio gray"", ""warm nutmeg"", ""santa monica blue"", ""strawberry daiquiri"", ""marzipan"", ""green acres"", ""crushed berries"", ""garden cucumber"", ""matterhorn"", ""gibson gold"", ""butter milk"", ""lemon freeze"", ""dove""]"
"[""english holly"", ""brick house tan"", ""mountainview"", ""lapis lazuli"", ""deep champagne"", ""touching white"", ""wall street"", ""spangle"", ""apple polish"", ""vintage charm"", ""oregon"", ""scarlet gum"", ""antigua"", ""citrus orange"", ""bliss blue"", ""dark celery"", ""dijon"", ""britannia blue"", ""denton gray"", ""geraldine""]"
"[""liliac"", ""mandarin"", ""heartfelt"", ""cocoa butter"", ""geebung"", ""winter in paris"", ""minimum beige"", ""regent grey"", ""velvet"", ""midori"", ""olive drab"", ""oriental eggplant"", ""crocus petal"", ""blue gossamer"", ""antiguan sky"", ""bed of ferns"", ""dragon fruit"", ""restful brown"", ""canyon wind"", ""roadside""]"
"[""light peach"", ""manchester brown"", ""barely beige"", ""wild stallion"", ""thickened cream"", ""club soda"", ""mid grey"", ""absolute green"", ""goldenrod field"", ""philippine red"", ""timberwolf"", ""sweet brown"", ""carter plum"", ""black rock"", ""plum taupe"", ""marmalade glaze"", ""charismatic"", ""stucco white"", ""clear skies"", ""white christmas""]"
"[""pale wheat"", ""powdery mist"", ""charcoal slate"", ""easter bonnet"", ""azul cielito lindo"", ""coral gold"", ""mamba"", ""ceramic brown"", ""drop dead gorgeous"", ""par four"", ""yellow polka dot"", ""cider spice"", ""icy moon drops"", ""very light azure"", ""california coral"", ""gray mirage"", ""harbor town"", ""sea reflections"", ""caribbean sunrise"", ""buried treasure""]"
"[""aztec brick"", ""new navy blue"", ""neutral ground"", ""beaujolais"", ""up maroon"", ""fresh pink"", ""curious blue"", ""sagey"", ""butter caramel"", ""mineral green"", ""antiquity"", ""dellwood sand"", ""fox run"", ""blue lake"", ""sapphire ice"", ""bermuda shell"", ""wintergreen dream"", ""pittsfield buff"", ""wild raisin"", ""hemp seed""]"
"[""arapawa"", ""honeysuckle blast"", ""dumbarton white"", ""treemoss"", ""wine tasting"", ""toasted nutmeg"", ""waterfall"", ""peaceful blue"", ""temperate taupe"", ""black swan"", ""traditional"", ""dark aqua"", ""gutsy grape"", ""sea haze"", ""manchester tan"", ""white city"", ""deep spring bud"", ""red"", ""humble gold"", ""wild ginger""]"
"[""fiord"", ""grayish"", ""cliff rock"", ""early spring green"", ""spearmint"", ""dusty green"", ""purpley grey"", ""snow fall"", ""ice formations"", ""mission control"", ""venetian rose"", ""yuma sand"", ""firewood"", ""pineapple fruit"", ""mission stone"", ""aspen mist"", ""candlelight dinner"", ""orange sherbet"", ""peaceful glade"", ""march wind""]"
"[""allure"", ""chalky"", ""white swan"", ""desert sandstorm"", ""prelude"", ""schooner"", ""soft apricot"", ""bleach white"", ""hyacinth arbor"", ""sandy beaches"", ""paradise green"", ""neon lime"", ""grand grape"", ""purple tutu"", ""foxy pink"", ""rosebay"", ""trellised ivy"", ""coyote brown"", ""pacific panorama"", ""belladonna lily""]"
"[""indian sunset"", ""sapphire blue"", ""velvet sky"", ""dunmore green"", ""simplify beige"", ""honest"", ""sandstone"", ""banjul"", ""ambrosia"", ""custard"", ""piggy pink"", ""key largo green"", ""pompeii red"", ""white peach"", ""observatory"", ""powell gray"", ""bleached cedar"", ""damask rose"", ""heavenly white"", ""gentle sky""]"
"[""empire blue"", ""greenmount silk"", ""gold ink"", ""albemarle blue"", ""interlude"", ""fiery red"", ""rich coral"", ""feta"", ""indian spice"", ""amsterdam"", ""beachcomber"", ""tamarind fruit"", ""winter hazel"", ""heirloom gold"", ""almond willow"", ""urban gray"", ""swiss cream"", ""acadia"", ""apple slice"", ""unmellow yellow""]"
"[""cherry burst"", ""black russian"", ""cottage white"", ""moss rose"", ""climbing ivy"", ""apricot ice"", ""blue bayou"", ""polar lights"", ""refreshing tea"", ""less traveled"", ""twilight blue"", ""habanero pepper"", ""mannered gold"", ""likeable sand"", ""pinkadelic"", ""butter"", ""sequin"", ""rapture blue"", ""kournikova"", ""devon cream""]"
"[""generic viridian"", ""eggnog"", ""extreme"", ""retreat"", ""yellow jubilee"", ""picante"", ""misted green"", ""mid green"", ""heart to heart"", ""burnished metal"", ""rosily"", ""double colonial white"", ""thicket"", ""approaching autumn"", ""shadow gray"", ""sweet honey"", ""cocoa"", ""art nouveau glass"", ""lilac fields"", ""black magic""]"
"[""wheatfield"", ""vino tinto"", ""twilight chimes"", ""white metal"", ""luscious lime"", ""french creme"", ""viridian green"", ""coastal fog"", ""racing green"", ""baby poo"", ""acapulco"", ""purple passage"", ""river veil"", ""rhodes"", ""pink polka dot"", ""mountbatten pink"", ""bermudan blue"", ""manor green"", ""venetian pearl"", ""dark raspberry""]"
"[""night shadz"", ""shit green"", ""playful pink"", ""heritage oak"", ""crusoe"", ""chiswell blue"", ""char brown"", ""ruffled clam"", ""november gold"", ""burlywood"", ""bateau brown"", ""vaguely mauve"", ""greeny grey"", ""portland orange"", ""dark seafoam green"", ""palm coast teal"", ""gold buttercup"", ""peacock plume"", ""slate green"", ""ashland slate""]"
"[""dusty teal"", ""my sin"", ""cracked pepper"", ""galt blue"", ""silver marlin"", ""fire roasted"", ""fall mood"", ""pecan"", ""vampire black"", ""oceanus"", ""canyon view"", ""waterbury cream"", ""aqua spray"", ""wild horse"", ""electric cyan"", ""mediterranean breeze"", ""sycamore tree"", ""canary diamond"", ""doeskin"", ""orange blast""]"
"[""curtain call"", ""bengal blue"", ""satchel"", ""blurple"", ""bay breeze"", ""albuquerque teal"", ""gallery red"", ""garrison red"", ""butterscotch amber"", ""vermont slate"", ""le luxe"", ""heirloom lace"", ""orange liqueur"", ""light urple"", ""rich purple"", ""cold steel"", ""scampi"", ""raleigh tan"", ""light royal blue"", ""chocolate swirl""]"
"[""ocre"", ""mystic opal"", ""brownstone"", ""august sunrise"", ""zero gravity"", ""very light brown"", ""aspen valley"", ""crossroads"", ""rum swizzle"", ""confident yellow"", ""magenta"", ""cast iron"", ""deep purple"", ""miami stucco"", ""beigewood"", ""fashionista"", ""snuff"", ""shortgrass prairie"", ""in the twilight"", ""cranberry""]"
"[""bullfighters red"", ""november rain"", ""sockeye"", ""meranti"", ""albuquerque"", ""burnt ember"", ""opera mauve"", ""deep evergreen"", ""lemon lime"", ""country lane red"", ""gray shimmer"", ""dirty yellow"", ""smokey wings"", ""antique brass"", ""green hydrangea"", ""flagstaff green"", ""burnished bronze"", ""rose potpourri"", ""candlelight yellow"", ""cake batter""]"
"[""madagascar"", ""woodsy brown"", ""sanguine brown"", ""classy"", ""yellow ochre"", ""vivid green"", ""spatial white"", ""pompadour"", ""maximum green yellow"", ""jolly green"", ""traditional tan"", ""glowing firelight"", ""rio rust"", ""roasted coffee beans"", ""heron plume"", ""pink mix"", ""tranquil blue"", ""tweed coat"", ""mighty aphrodite"", ""dark iris""]"
"[""notable hue"", ""movie magic"", ""rich lavender"", ""queen anne lilac"", ""peanut butter"", ""citron cocktail"", ""morning blue"", ""essential brown"", ""searching blue"", ""caribbean teal"", ""plum brown"", ""mischievous"", ""schist"", ""ice mist"", ""rock salt"", ""silver tradition"", ""great plains"", ""warren acres"", ""hydrangea blossom"", ""florida pink""]"
"[""leather saddle brown"", ""lemon ginger"", ""uptown girl"", ""light rattan"", ""green balsam"", ""judge grey"", ""rich mahogany"", ""white nectar"", ""smoldering red"", ""raging sea"", ""milk paint"", ""el salva"", ""mountain retreat"", ""flamingo"", ""victorian trim"", ""rich clay brown"", ""outer banks"", ""vanity"", ""rhinestone"", ""honey blush""]"
"[""spring blossom"", ""light burgundy"", ""sioux falls"", ""ripe olive"", ""surfboard yellow"", ""eclipse"", ""teasing peach"", ""cadet"", ""soft iris"", ""social butterfly"", ""spring violet"", ""deep chestnut"", ""white ice"", ""pink parfait"", ""rookwood red"", ""crown jewel"", ""castilian pink"", ""heather rose"", ""frosted silver"", ""terrapin green""]"
"[""north texas green"", ""tropical trail"", ""randolph blue"", ""dolphin blue"", ""sydney harbour"", ""grain brown"", ""orleans violet"", ""light grayish magenta"", ""espresso martini"", ""purplish brown"", ""lion mane"", ""siam gold"", ""cadmium green"", ""chicago fog"", ""laurel mist"", ""dreamy white"", ""sassy grass"", ""bare"", ""turkish rose"", ""mosaic""]"
"[""rose bud cherry"", ""tahoe blue"", ""ice flower"", ""victorian lace"", ""earthly russet"", ""playful porpoise"", ""cream rose"", ""grey"", ""jet set"", ""dirt brown"", ""everglade"", ""forest floor"", ""beacon yellow"", ""fedora"", ""white sand"", ""tahuna sands"", ""tropical dusk"", ""feather soft"", ""garden lattice"", ""dusty mauve""]"
"[""gloucester sage"", ""loyal"", ""home sweet home"", ""sage brush"", ""sunrise"", ""spirited yellow"", ""tavern gray"", ""ocean blue"", ""wattle"", ""tallow"", ""ashwood"", ""gambol gold"", ""deep space sparkle"", ""gypsy magic"", ""double spanish white"", ""trench coat"", ""early september"", ""sea blue"", ""neon cyan"", ""sherpa blue""]"
"[""spiced mustard"", ""country cork"", ""nursery pink"", ""gettysburgh gold"", ""journal white"", ""new brick"", ""milano"", ""old amethyst"", ""corlsbud canyon"", ""national anthem"", ""pink cadillac"", ""dusty blue"", ""primrose petals"", ""medium vermilion"", ""grey suit"", ""golden bear"", ""wild pink"", ""marrakech brown"", ""summer melon"", ""garden salt green""]"
"[""deer run"", ""manz"", ""autumn red"", ""smoky mountain"", ""basketry"", ""aruba green"", ""dappled sunlight"", ""atlantic blue"", ""jungle camouflage"", ""turquoise blue"", ""grand plum"", ""meridian blue"", ""pickle"", ""willow wood"", ""thornton sage"", ""darkish green"", ""lunar green"", ""soapstone"", ""dried mustard"", ""spicy olive""]"
"[""fieldstone"", ""morning glory"", ""hawaiian sky"", ""night flower"", ""coral dune"", ""jamaican aqua"", ""lamplit"", ""navajo white"", ""onondaga clay"", ""sashay sand"", ""soft heather"", ""persian green"", ""crescent moon"", ""rustic red"", ""gallery"", ""smokey blue"", ""peatmoss"", ""grass green"", ""rise and shine"", ""moonshine""]"
"[""mountain morn"", ""geddy gray"", ""persian indigo"", ""coastal jetty"", ""bashful blue"", ""darkish pink"", ""polar sky"", ""funny face"", ""ice"", ""frosted mint"", ""jasper"", ""red clover"", ""finnie gray"", ""trinket"", ""spanish gray"", ""burnt peanut red"", ""lightning bug"", ""rich maroon"", ""chalk"", ""half dutch white""]"
"[""bedazzled"", ""rose garland"", ""old lace"", ""wine not"", ""white cloud"", ""gingko"", ""eminent bronze"", ""brink pink"", ""custis salmon"", ""old moss green"", ""drowsy lavender"", ""sierra spruce"", ""milk white"", ""enigma"", ""brazil"", ""foxgloves"", ""soft turquoise"", ""ebb"", ""riesling grape"", ""richmond gray""]"
"[""new sled"", ""silver leaf"", ""minuet rose"", ""heather sachet"", ""straw hat"", ""thermal"", ""kalamata"", ""steel blue"", ""morning coffee"", ""bayard blue"", ""brownish yellow"", ""old copper"", ""quiet on the set"", ""sapphireberry"", ""november pink"", ""pineapple smoothy"", ""tosca"", ""pink water"", ""paradiso"", ""wild manzanita""]"
"[""amelia blush"", ""ray of light"", ""heathered grey"", ""picton blue"", ""velvet leaf"", ""optimist gold"", ""cream brulee"", ""blue orchid"", ""blue jean"", ""pale violet"", ""picket fence"", ""regale blue"", ""pepper grass"", ""citrus punch"", ""cherry fizz"", ""indian yellow"", ""blue horizon"", ""clay pebble"", ""conservative gray"", ""retro pink""]"
"[""apple froth"", ""silver polish"", ""spanish raisin"", ""july ruby"", ""pinot grigio grape"", ""renaissance"", ""under the big top"", ""window pane"", ""museum piece"", ""delightful golden"", ""saltpan"", ""garden gate"", ""peach cooler"", ""sea kelp"", ""brownish orange"", ""adirondack blue"", ""sweetheart"", ""basket beige"", ""brass"", ""off broadway""]"
"[""pebbled courtyard"", ""san diego cream"", ""blue square"", ""corn maze"", ""light light green"", ""bilbao"", ""horizon gray"", ""hydrangea"", ""happily ever after"", ""vital yellow"", ""medium spring bud"", ""dark red"", ""clover brook"", ""pastel red"", ""chenille white"", ""narragansett green"", ""tea rose"", ""dusk blue"", ""fruited plains"", ""sugar cane""]"
"[""camellia pink"", ""dark nut brown"", ""tamarillo"", ""del mar blue"", ""mineral alloy"", ""palm leaf"", ""alligator alley"", ""paving stones"", ""cameo"", ""water blue"", ""island oasis"", ""red orange"", ""light gray"", ""centre stage"", ""pale lilac"", ""sunburst"", ""tea cookie"", ""indian dance"", ""temporal spirit"", ""sorbus""]"
"[""devonshire"", ""overjoy"", ""isabellas aqua"", ""denim blue"", ""fuel yellow"", ""nubuck"", ""peach stone"", ""hinting blue"", ""berry syrup"", ""coffeehouse ochre"", ""warm muffin"", ""baby powder"", ""caribe"", ""lavender magenta"", ""burwell green"", ""cooled blue"", ""pompeian red"", ""shortbread cookie"", ""noble fir"", ""coral coast""]"
"[""hemisphere"", ""cream yellow"", ""vibrant green"", ""tangy dill"", ""milkweed pod"", ""wild geranium"", ""piano concerto"", ""sweet tea"", ""summer green"", ""auberge"", ""destiny"", ""baby fawn"", ""old navy"", ""cosmos"", ""vivid peach"", ""frosted pomgranate"", ""river reflections"", ""mixed veggies"", ""military green"", ""angelico""]"
"[""glorious gold"", ""philippine yellow"", ""sky high"", ""cottage red"", ""champagne wishes"", ""dark puce"", ""nypd"", ""grand soiree"", ""atomic tangerine"", ""needlepoint navy"", ""artisan tan"", ""soft violet"", ""autumn white"", ""chathams blue"", ""classic silver"", ""adobe white"", ""soft lace"", ""moosewood"", ""ionic sky"", ""cinderella""]"
"[""fahrenheit"", ""smoke bush"", ""south beach"", ""shocking"", ""kashmir blue"", ""morristown cream"", ""princeton orange"", ""greenish turquoise"", ""aerial view"", ""highlands green"", ""pink chintz"", ""olympus green"", ""just ducky"", ""light rosebeige"", ""westhighland white"", ""portland gray"", ""apricot jam"", ""impulsive purple"", ""butter rum"", ""bell tower""]"
"[""shore house green"", ""bubble gum"", ""downy"", ""billiard table"", ""clearspring green"", ""jargon jade"", ""morning sunlight"", ""light sea green"", ""blaze orange"", ""caffeine"", ""dune drift"", ""tea bag"", ""beryl green"", ""nighty night"", ""decorators white"", ""gamboge"", ""life is a peach"", ""sofisticata"", ""brick hearth"", ""terrarium""]"
"[""barren plain"", ""polite white"", ""classic gold"", ""stop"", ""lunch box"", ""hathaway gold"", ""berry blush"", ""silky white"", ""spicy mix"", ""sweet coconut milk"", ""pigeon post"", ""heather gray"", ""brook trout"", ""featherstone"", ""rarified air"", ""stable hay"", ""blue"", ""tidal wave"", ""poolside"", ""hummingbird""]"
"[""black tar"", ""aquarius"", ""runyon canyon tan"", ""baby girl"", ""calm"", ""wheat bread"", ""cumulus"", ""hardware"", ""mossy rock"", ""bella mia"", ""royal red"", ""cameroon green"", ""halcyon green"", ""adobe sand"", ""baby poop"", ""winter oak"", ""ironstone"", ""sweet cherry"", ""larkspur bouquet"", ""mantis green""]"
"[""beach white"", ""barnwood"", ""marine blue"", ""sheen green"", ""snowbound"", ""abstracta"", ""berry brown"", ""bare essence"", ""nile sand"", ""smoky white"", ""bee pollen"", ""thai ice tea"", ""offbeat"", ""ferret brown"", ""rosewood"", ""park avenue"", ""fresh dew"", ""baby shit green"", ""sail cloth"", ""light tan""]"
"[""clam shell"", ""rouge"", ""yellowish tan"", ""lightfoot salmon"", ""seaglass"", ""indian paint brush"", ""alabama crimson"", ""pepperoncini"", ""yellowy brown"", ""oat flour"", ""clear blue"", ""twine"", ""middle green yellow"", ""dark blue green"", ""brandon beige"", ""indigo batik"", ""lavender suede"", ""indigo"", ""bing cherry pie"", ""network gray""]"
"[""san francisco bay"", ""dublin"", ""fair winds"", ""mindful gray"", ""whitehaven blue"", ""windsor cream"", ""golden light"", ""flint"", ""down home"", ""silky smooth"", ""bluebell"", ""cougar brown"", ""sea sprite"", ""charred hickory"", ""tranquil retreat"", ""domino"", ""cottage cream"", ""sapphire sparkle"", ""minstrel heart"", ""frosty white""]"
"[""sickly yellow"", ""rose fantasy"", ""graceful gray"", ""red tulip"", ""pomegranate"", ""windjammer"", ""tropical seaweed green"", ""rambling rose"", ""stuart gold"", ""lemon curry"", ""squire hill buff"", ""earl grey"", ""icy"", ""porcelain skin"", ""usafa blue"", ""regent st blue"", ""pumpkin patch"", ""plymouth notch"", ""sand yellow"", ""buckhorn""]"
